tau,attacker_k,defender_k,threshold,n_poisons,auroc,auprc,precision_at_k,n_flagged,flagged_precision,flagged_recall,poisons_missed,clean_removed
1.0,20,5,0.5,1500,0.9743521924398626,0.5154103909734536,0.564,3131,0.4053018205046311,0.846,231,1862
1.0,20,20,0.5,1500,0.9858087285223368,0.613742826015103,0.5966666666666667,2981,0.4595773230459577,0.9133333333333333,130,1611
1.0,20,100,0.5,1500,0.9877787285223367,0.6648457644826142,0.5933333333333334,3527,0.41224836971930817,0.9693333333333334,46,2073
1.0,20,500,0.5,1500,0.9875167216494845,0.6631347803937477,0.5546666666666666,4425,0.33853107344632766,0.9986666666666667,2,2927
0.9,20,5,0.5,1500,0.9676896838487973,0.44898258428668625,0.5206666666666667,2541,0.4478551751279024,0.7586666666666667,362,1403
0.9,20,20,0.5,1500,0.9797674089347078,0.48854384315596594,0.5473333333333333,2543,0.47463625639009044,0.8046666666666666,293,1336
0.9,20,100,0.5,1500,0.9809002611683848,0.5038465122135205,0.5613333333333334,3011,0.4350714048488874,0.8733333333333333,190,1701
0.9,20,500,0.5,1500,0.9765035120274913,0.46617251905265483,0.5246666666666666,3876,0.3459752321981424,0.894,159,2535
0.8,20,5,0.5,1263,0.9526552270121578,0.38044546464339646,0.4584323040380047,1967,0.4295882053889171,0.6690419635787807,418,1122
0.8,20,20,0.5,1263,0.9724731353742162,0.4008733306224246,0.4766429136975455,1953,0.45468509984639016,0.7030878859857482,375,1065
0.8,20,100,0.5,1263,0.9737868421732813,0.36957787267205405,0.442596991290578,2413,0.39204309987567343,0.7490102929532858,317,1467
0.8,20,500,0.5,1263,0.964240215361813,0.30679891675404214,0.3721298495645289,3232,0.2988861386138614,0.7648456057007126,297,2266
0.7,20,5,0.5,652,0.9302308855947817,0.1756058955911203,0.19938650306748465,1528,0.2231675392670157,0.5230061349693251,311,1187
0.7,20,20,0.5,652,0.956391358654275,0.18246292656717922,0.05061349693251534,1499,0.23082054703135424,0.5306748466257669,306,1153
0.7,20,100,0.5,652,0.9600819533340527,0.15220687990208503,0.09969325153374232,1959,0.18887187340479836,0.5674846625766872,282,1589
0.7,20,500,0.5,652,0.9461519471578089,0.11688394517162246,0.08282208588957055,2839,0.13878126100739696,0.6042944785276073,258,2445
0.6,20,5,0.5,399,0.9035610942236341,0.0867914098999191,0.05764411027568922,1402,0.11554921540656206,0.40601503759398494,237,1240
0.6,20,20,0.5,399,0.9402841946906741,0.08897195266213641,0.0,1340,0.09253731343283582,0.3107769423558897,275,1216
0.6,20,100,0.5,399,0.9461851691788694,0.07126456647885016,0.0,1856,0.0824353448275862,0.38345864661654133,246,1703
0.6,20,500,0.5,399,0.9290404849243328,0.05424511443673333,0.005012531328320802,2742,0.06637490882567469,0.45614035087719296,217,2560
0.5,20,5,0.5,260,0.8712136958337199,0.04261957866010591,0.011538461538461539,1350,0.04962962962962963,0.25769230769230766,193,1283
0.5,20,20,0.5,260,0.9205751832606478,0.04428428795600964,0.0,1276,0.0,0.0,260,1276
0.5,20,100,0.5,260,0.9313146438402771,0.0364791307604842,0.0,1828,0.028446389496717725,0.2,208,1776
0.5,20,500,0.5,260,0.9125194086171167,0.028576373272091886,0.0,2730,0.02893772893772894,0.3038461538461538,181,2651
0.4,20,5,0.5,171,0.8317181016385982,0.021151011618084224,0.005847953216374269,1348,0.021513353115727003,0.1695906432748538,142,1319
0.4,20,20,0.5,171,0.8981551995544059,0.023093648791408183,0.0,1322,0.0,0.0,171,1322
0.4,20,100,0.5,171,0.9161886282665664,0.019463378747141998,0.0,1847,0.009204114780725501,0.09941520467836257,154,1830
0.4,20,500,0.5,171,0.8948736256946125,0.015573038809540602,0.0,2750,0.012,0.19298245614035087,138,2717
0.3,20,5,0.5,98,0.7752399805659909,0.008462247088420683,0.0,1381,0.0065170166545981175,0.09183673469387756,89,1372
0.3,20,20,0.5,98,0.8542879758612595,0.009212882316907237,0.0,1393,0.0,0.0,98,1393
0.3,20,100,0.5,98,0.8931650933789411,0.008690511959135219,0.0,1894,0.0015839493136219642,0.030612244897959183,95,1891
0.3,20,500,0.5,98,0.8685813991341396,0.007054609965266538,0.0,2777,0.0025207057976233344,0.07142857142857142,91,2770
0.2,20,5,0.5,58,0.6966684802646933,0.003265844716395809,0.0,1398,0.000715307582260372,0.017241379310344827,57,1397
0.2,20,20,0.5,58,0.810873026503848,0.004084145167183675,0.0,1422,0.0,0.0,58,1422
0.2,20,100,0.5,58,0.8722865075211383,0.004351940883140094,0.0,1922,0.0,0.0,58,1922
0.2,20,500,0.5,58,0.8484234815834645,0.003669595777636955,0.0,2799,0.0003572704537334762,0.017241379310344827,57,2798
0.1,20,5,0.5,31,0.6081144503140334,0.0010591369626649985,0.0,1423,0.0,0.0,31,1423
0.1,20,20,0.5,31,0.7200954914627715,0.0015332266842326223,0.0,1446,0.0,0.0,31,1446
0.1,20,100,0.5,31,0.840750620223248,0.0018505134946317596,0.0,1939,0.0,0.0,31,1939
0.1,20,500,0.5,31,0.8133036030726147,0.0015975725001367682,0.0,2828,0.0,0.0,31,2828
