tau,n_flips_placed,budget_satisfied,n_eligible,mean_margin,baseline_mean_margin,jaccard_vs_unconstrained,frac_source_class,auroc,auprc,precision_at_k,best_f1,best_f1_threshold,f1_at_threshold,mcc_at_threshold,flagged_precision,flagged_recall,n_flagged,poisons_missed,clean_removed,fpr_at_threshold,mean_score_poisoned,mean_score_clean,cta_undefended,pta_undefended,cta_defended,pta_defended
1.0,1500,True,50000,7.764131738384565,7.764131738384565,1.0,0.8646666666666667,0.9858087285223368,0.613742826015103,0.5966666666666667,0.6443298969072164,0.699999988079071,0.6114706538719036,0.6340728338165261,0.4595773230459577,0.9133333333333333,2981,130,1611,0.03321649484536082,0.7887666821479797,0.06653918325901031,0.8925,0.996,,
0.9,1500,True,3365,-4.1838725865284605,7.764131738384565,0.014198782961460446,0.078,0.9797674089347078,0.48854384315596594,0.5473333333333333,0.6027911969940954,0.6000000238418579,0.5970813752164235,0.603366811798487,0.47463625639009044,0.8046666666666666,2543,293,1336,0.02754639175257732,0.6873667240142822,0.04954742267727852,0.9022,0.017,,
0.8,1263,False,1263,-4.784780857540366,7.764131738384565,0.005824535857298871,0.08155186064924783,0.9724731353742162,0.4008733306224246,0.4766429136975455,0.55233725265271,0.5,0.5522388059701493,0.5517525406655363,0.45468509984639016,0.7030878859857482,1953,375,1065,0.02185198104109814,0.5927553176879883,0.041997864842414856,0.9121,0.003,,
0.7,652,False,652,-4.896875816711619,7.764131738384565,0.00186219739292365,0.09355828220858896,0.956391358654275,0.18246292656717922,0.05061349693251534,0.3401869158878505,0.44999998807907104,0.3217108321710832,0.33748617180228474,0.23082054703135424,0.5306748466257669,1499,306,1153,0.02336467536678285,0.491411030292511,0.04269170016050339,0.9188,0.002,,
0.6,399,False,399,-4.937633600001945,7.764131738384565,0.0010542962572482868,0.10526315789473684,0.9402841946906741,0.08897195266213641,0.0,0.19400077911959487,0.4000000059604645,0.14261069580218516,0.15770877677317352,0.09253731343283582,0.3107769423558897,1340,275,1216,0.024515634765428115,0.40651628375053406,0.043842863291502,0.9241,0.001,,
0.5,260,False,260,-4.926143207229101,7.764131738384565,0.0011376564277588168,0.13846153846153847,0.9205751832606478,0.04428428795600964,0.0,0.10574550581600282,0.3499999940395355,0.0,-0.011700048269033814,0.0,0.0,1276,260,1276,0.02565339766787294,0.32346153259277344,0.04482509195804596,0.9234,0.002,,
0.4,171,False,171,-4.888758866061941,7.764131738384565,0.0011983223487118035,0.14035087719298245,0.8981551995544059,0.023093648791408183,0.0,0.05785562632696391,0.25,0.0,-0.009653978645070317,0.0,0.0,1322,171,1322,0.02653073511409019,0.25526317954063416,0.04566918686032295,,,,
0.3,98,False,98,-4.836502722939667,7.764131738384565,0.0012531328320802004,0.14285714285714285,0.8542879758612595,0.009212882316907237,0.0,0.025402843601895733,0.15000000596046448,0.0,-0.007502054440560594,0.0,0.0,1393,98,1393,0.027914712837160835,0.17193876206874847,0.04660434275865555,,,,
0.2,58,False,58,-4.880320999129065,7.764131738384565,0.0012853470437017994,0.1724137931034483,0.810873026503848,0.004084145167183675,0.0,0.01030337721808815,0.15000000596046448,0.0,-0.005830570011095354,0.0,0.0,1422,58,1422,0.02847302871330744,0.10689656436443329,0.04719875007867813,,,,
0.1,31,False,31,-4.895208562574079,7.764131738384565,0.00065359477124183,0.12903225806451613,0.7200954914627715,0.0015332266842326223,0.0,0.0045510964004964825,0.05000000074505806,0.0,-0.004298353776452742,0.0,0.0,1446,31,1446,0.028937941523744723,0.04516128450632095,0.04771257936954498,,,,
