tau,attacker_k,defender_k,threshold,n_poisons,auroc,auprc,precision_at_k,n_flagged,flagged_precision,flagged_recall,poisons_missed,clean_removed
1.0,20,5,0.5,1500,0.9427441030927834,0.3074670223402596,0.38133333333333336,2923,0.3301402668491276,0.6433333333333333,535,1958
1.0,20,20,0.5,1500,0.9666056426116838,0.34755337459978286,0.3893333333333333,2728,0.3724340175953079,0.6773333333333333,484,1712
1.0,20,100,0.5,1500,0.9667932577319587,0.34353995252816727,0.334,3340,0.3526946107784431,0.7853333333333333,322,2162
1.0,20,500,0.5,1500,0.9555237182130584,0.285156268974184,0.21866666666666668,4378,0.29465509365006853,0.86,210,3088
0.9,20,5,0.5,1500,0.9235256494845361,0.2656194007789312,0.31866666666666665,2523,0.3151010701545779,0.53,705,1728
0.9,20,20,0.5,1500,0.9588989484536083,0.2858673979264762,0.31866666666666665,2443,0.3205075726565698,0.522,717,1660
0.9,20,100,0.5,1500,0.9569893745704467,0.2671743566845132,0.282,3018,0.3111332007952286,0.626,561,2079
0.9,20,500,0.5,1500,0.9403594570446735,0.2044328646564611,0.188,3867,0.24023791052495475,0.6193333333333333,571,2938
0.8,20,5,0.5,1500,0.849765532646048,0.2108118685364934,0.306,1733,0.30929024812463934,0.35733333333333334,964,1197
0.8,20,20,0.5,1500,0.9351085154639175,0.2509692750223448,0.308,1699,0.31430253090052973,0.356,966,1165
0.8,20,100,0.5,1500,0.9424618281786942,0.23437088442138843,0.2753333333333333,2182,0.29560036663611367,0.43,855,1537
0.8,20,500,0.5,1500,0.9236550652920963,0.17437464392562257,0.17,2950,0.2064406779661017,0.406,891,2341
0.7,20,5,0.5,1297,0.8759601154962028,0.24225443793769674,0.34232845026985353,1456,0.3482142857142857,0.3909020817270625,790,949
0.7,20,20,0.5,1297,0.9420058079916077,0.2697392501300399,0.3330763299922899,1379,0.3401015228426396,0.361603700848111,828,910
0.7,20,100,0.5,1297,0.9482133307463609,0.2286744204420014,0.25057825751734775,1759,0.28254690164866403,0.38319198149575945,800,1262
0.7,20,500,0.5,1297,0.9296109863965324,0.1676047481037658,0.15651503469545103,2591,0.20532612890775762,0.41017733230531994,765,2059
0.6,20,5,0.5,846,0.8648674460765033,0.14529819169054592,0.1702127659574468,1252,0.2036741214057508,0.30141843971631205,591,997
0.6,20,20,0.5,846,0.9336623903395812,0.1649723534048871,0.07919621749408984,1158,0.17271157167530224,0.2364066193853428,646,958
0.6,20,100,0.5,846,0.9387512118761021,0.13125208068690208,0.06619385342789598,1605,0.14080996884735203,0.26713947990543735,620,1379
0.6,20,500,0.5,846,0.9190908036314873,0.09701931009433082,0.03546099290780142,2506,0.10694333599361533,0.31678486997635935,578,2238
0.5,20,5,0.5,556,0.8390144449443276,0.07706815670776908,0.044964028776978415,1201,0.093255620316403,0.2014388489208633,444,1089
0.5,20,20,0.5,556,0.9181241084310774,0.08812159832557485,0.0,1044,0.0,0.0,556,1044
0.5,20,100,0.5,556,0.9262219805095977,0.07291058188174131,0.0017985611510791368,1608,0.049129353233830844,0.1420863309352518,477,1529
0.5,20,500,0.5,556,0.9057497610842643,0.05571037846792701,0.0035971223021582736,2527,0.04867431737237832,0.22122302158273383,433,2404
0.4,20,5,0.5,336,0.821140564594072,0.04048599247153072,0.002976190476190476,1231,0.034930950446791224,0.12797619047619047,293,1188
0.4,20,20,0.5,336,0.8987991265590483,0.04482209457116951,0.0,1175,0.0,0.0,336,1175
0.4,20,100,0.5,336,0.9114381081342813,0.03726975256847706,0.0,1701,0.014697236919459141,0.0744047619047619,311,1676
0.4,20,500,0.5,336,0.8883029673692932,0.02891253637312984,0.0,2612,0.020290964777947933,0.15773809523809523,283,2559
0.3,20,5,0.5,180,0.7550797314777644,0.014799343371076542,0.0,1297,0.008481110254433308,0.06111111111111111,169,1286
0.3,20,20,0.5,180,0.8530048730987109,0.01695230444290713,0.0,1312,0.0,0.0,180,1312
0.3,20,100,0.5,180,0.8847430193139747,0.015693310960283216,0.0,1818,0.00055005500550055,0.005555555555555556,179,1817
0.3,20,500,0.5,180,0.8580229938891119,0.012312717143362035,0.0,2696,0.0051928783382789315,0.07777777777777778,166,2682
0.2,20,5,0.5,107,0.6775785227114998,0.005378739237010702,0.0,1343,0.0014892032762472078,0.018691588785046728,105,1341
0.2,20,20,0.5,107,0.8085964712147549,0.008007772397996072,0.0,1371,0.0,0.0,107,1371
0.2,20,100,0.5,107,0.8561493558832726,0.007487723725511203,0.0,1877,0.0,0.0,107,1877
0.2,20,500,0.5,107,0.8294895937118518,0.006162114175038509,0.0,2762,0.0025343953656770456,0.06542056074766354,100,2755
0.1,20,5,0.5,48,0.564394318545804,0.0012225374656348546,0.0,1403,0.0,0.0,48,1403
0.1,20,20,0.5,48,0.7077913547005125,0.0022179925508035913,0.0,1428,0.0,0.0,48,1428
0.1,20,100,0.5,48,0.8065955817584882,0.0024838258540894756,0.0,1931,0.0,0.0,48,1931
0.1,20,500,0.5,48,0.7810093523115523,0.0021759167773354833,0.0,2814,0.0,0.0,48,2814
