tau,n_flips_placed,budget_satisfied,n_eligible,mean_margin,baseline_mean_margin,jaccard_vs_unconstrained,frac_source_class,auroc,auprc,precision_at_k,best_f1,best_f1_threshold,f1_at_threshold,mcc_at_threshold,flagged_precision,flagged_recall,n_flagged,poisons_missed,clean_removed,fpr_at_threshold,mean_score_poisoned,mean_score_clean,cta_undefended,pta_undefended,cta_defended,pta_defended
1.0,1500,True,50000,8.083496893882751,8.083496893882751,1.0,0.944,0.9666056426116838,0.34755337459978286,0.3893333333333333,0.4806054872280037,0.550000011920929,0.4806054872280038,0.48222597652937776,0.3724340175953079,0.6773333333333333,2728,484,1712,0.03529896907216495,0.612766683101654,0.06542887538671494,0.8963,0.95,0.9073,0.562
0.9,1500,True,4329,4.499100170572599,8.083496893882751,0.3525698827772768,0.9866666666666667,0.9588989484536083,0.2858673979264762,0.31866666666666665,0.44012822930416745,0.4000000059604645,0.39715952320568093,0.38598059506503973,0.3205075726565698,0.522,2443,717,1660,0.03422680412371134,0.5374666452407837,0.054538145661354065,0.8995,0.646,0.9009,0.364
0.8,1500,True,2267,0.23815897047519685,8.083496893882751,0.13507377979568672,0.9173333333333333,0.9351085154639175,0.2509692750223448,0.308,0.40210568941081193,0.30000001192092896,0.33385432947796184,0.3125740066420936,0.31430253090052973,0.356,1699,966,1165,0.02402061855670103,0.40710002183914185,0.04207216575741768,0.9019,0.325,0.912,0.289
0.7,1297,False,1297,-1.6866922263191035,8.083496893882751,0.07535563244905806,0.6329992289899768,0.9420058079916077,0.2697392501300399,0.3330763299922899,0.44189682126107344,0.3499999940395355,0.3505231689088191,0.3328475331366953,0.3401015228426396,0.361603700848111,1379,828,910,0.018684680615157177,0.40512722730636597,0.036871444433927536,0.9096,0.219,0.9154,0.188
0.6,846,False,846,-1.6896079107942874,8.083496893882751,0.05962059620596206,0.6323877068557919,0.9336623903395812,0.1649723534048871,0.07919621749408984,0.31347387717690195,0.3499999940395355,0.1996007984031936,0.18599741522259275,0.17271157167530224,0.2364066193853428,1158,646,958,0.01948976685518981,0.35596922039985657,0.038335639983415604,0.9169,0.177,0.9187,0.138
0.5,556,False,556,-1.579103340562299,8.083496893882751,0.04684317718940937,0.6546762589928058,0.9181241084310774,0.08812159832557485,0.0,0.19305473808122425,0.30000001192092896,0.0,-0.015485594513833063,0.0,0.0,1044,556,1044,0.021114796537496965,0.2946043014526367,0.04050440713763237,0.9245,0.134,0.923,0.118
0.4,336,False,336,-1.805151951809724,8.083496893882751,0.02857142857142857,0.6279761904761905,0.8987991265590483,0.04482209457116951,0.0,0.10750399148483236,0.25,0.0,-0.01275988024403623,0.0,0.0,1175,336,1175,0.023658988402061855,0.24538689851760864,0.04277343675494194,,,,
0.3,180,False,180,-1.9256421751446193,8.083496893882751,0.020036429872495445,0.6166666666666667,0.8530048730987109,0.01695230444290713,0.0,0.04692865318580695,0.15000000596046448,0.0,-0.009867118432612348,0.0,0.0,1312,180,1312,0.026334805299076676,0.16833333671092987,0.0448775552213192,,,,
0.2,107,False,107,-2.0055528455805556,8.083496893882751,0.011327879169288861,0.5887850467289719,0.8085964712147549,0.008007772397996072,0.0,0.02178066488345434,0.15000000596046448,0.0,-0.007775765193950696,0.0,0.0,1371,107,1371,0.027478804641933738,0.11355140805244446,0.04611368849873543,,,,
0.1,48,False,48,-2.7201574370265007,8.083496893882751,0.0038910505836575876,0.4583333333333333,0.7077913547005125,0.0022179925508035913,0.0,0.006675010429703796,0.05000000074505806,0.0,-0.005315147101822584,0.0,0.0,1428,48,1428,0.02858744394618834,0.04895833134651184,0.047273386269807816,,,,
