experiment,mode,k,scoring,encoder,dataset,user_model,poisoner,source_label,target_label,seed,n_total,n_true_poisoned,n_removed,n_train_samples,cta,pta,auroc,auprc,precision_at_k,recall_at_k,flagged_precision,flagged_recall,auroc_recheck,auprc_recheck,tp_at_thr,fp_at_thr,fn_at_thr,tn_at_thr,f1_at_thr,mcc_at_thr,balanced_acc_at_thr,best_f1,best_f1_threshold,best_mcc,best_mcc_threshold,score_mean_poisoned,score_std_poisoned,score_mean_clean,score_std_clean
knn_defense_cifar_1xs_1500_none_k1,none,1,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,0,50000,0.8977,0.997,0.848213058419244,0.24640294173829988,0.33,0.33,,,0.848213058419244,0.24640294173829988,1118,2372,382,46128,0.44809619238476955,0.46623585054056127,0.848213058419244,0.44809619238476955,0.0,0.46623585054056127,0.0,0.7453333139419556,0.43567365407943726,0.048907216638326645,0.21567407250404358
knn_defense_cifar_1xs_1500_none_k5,none,5,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,0,50000,0.8967,1.0,0.9743521924398626,0.5154103909734536,0.564,0.564,,,0.9743521924398626,0.5154103909734536,1269,1862,231,46638,0.5480457784495789,0.5686340563139816,0.9038041237113401,0.5915826911677534,0.62,0.581337437874941,0.62,0.7744000554084778,0.24762466549873352,0.05670103058218956,0.16334596276283264
knn_defense_cifar_1xs_1500_none_k10,none,10,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,0,50000,0.8953,0.998,0.9826020274914089,0.5724559229813222,0.5833333333333334,0.5833333333333334,,,0.9826020274914089,0.5724559229813222,1269,1463,231,47037,0.5997164461247637,0.6123431984419637,0.9079175257731958,0.6176062204943071,0.62,0.6129715581773812,0.62,0.778866708278656,0.21156571805477142,0.06120000407099724,0.1583605408668518
knn_defense_cifar_1xs_1500_remove_k1,remove,1,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,3490,46510,0.9107,0.47,0.848213058419244,0.24640294173829988,0.33,0.33,0.32034383954154727,0.7453333333333333,0.848213058419244,0.24640294173829988,1118,2372,382,46128,0.44809619238476955,0.46623585054056127,0.848213058419244,0.44809619238476955,0.0,0.46623585054056127,0.0,0.7453333139419556,0.43567365407943726,0.048907216638326645,0.21567407250404358
knn_defense_cifar_1xs_1500_remove_k5,remove,5,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,3131,46869,0.9157,0.386,0.9743521924398626,0.5154103909734536,0.564,0.564,0.4053018205046311,0.846,0.9743521924398626,0.5154103909734536,1269,1862,231,46638,0.5480457784495789,0.5686340563139816,0.9038041237113401,0.5915826911677534,0.62,0.581337437874941,0.62,0.7744000554084778,0.24762466549873352,0.05670103058218956,0.16334596276283264
knn_defense_cifar_1xs_1500_remove_k10,remove,10,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,2732,47268,0.913,0.219,0.9826020274914089,0.5724559229813222,0.5833333333333334,0.5833333333333334,0.46449487554904834,0.846,0.9826020274914089,0.5724559229813222,1269,1463,231,47037,0.5997164461247637,0.6123431984419637,0.9079175257731958,0.6176062204943071,0.62,0.6129715581773812,0.62,0.778866708278656,0.21156571805477142,0.06120000407099724,0.1583605408668518
knn_defense_cifar_1xs_1500_remove_k20,remove,20,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,2981,47019,0.9213,0.111,0.9858087285223368,0.613742826015103,0.5966666666666667,0.5966666666666667,0.4595773230459577,0.9133333333333333,0.9858087285223368,0.613742826015103,1370,1611,130,46889,0.6114706538719036,0.6340728338165261,0.9400584192439863,0.6443298969072165,0.66,0.6413072704663013,0.62,0.7887666821479797,0.18378105759620667,0.06653918325901031,0.1582934558391571
knn_defense_cifar_1xs_1500_remove_k50,remove,50,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,3232,46768,0.9201,0.045,0.9873577731958763,0.6571782032248391,0.6033333333333334,0.6033333333333334,0.43935643564356436,0.9466666666666667,0.9873577731958763,0.6571782032248391,1420,1812,80,46688,0.6001690617075233,0.6308359066457988,0.9546529209621992,0.658047493403694,0.64,0.6652925144046816,0.58,0.7993066310882568,0.15972326695919037,0.07521319389343262,0.16233257949352264
knn_defense_cifar_1xs_1500_remove_k100,remove,100,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,3527,46473,0.921,0.027,0.9877787285223367,0.6648457644826142,0.5933333333333334,0.5933333333333334,0.41224836971930817,0.9693333333333334,0.9877787285223367,0.6648457644826142,1454,2073,46,46427,0.5784762283668192,0.6173074564574524,0.9632955326460482,0.6682402307894046,0.66,0.6723759213153676,0.66,0.8065732717514038,0.14559437334537506,0.08383917063474655,0.16778819262981415
knn_defense_cifar_1xs_1500_remove_k200,remove,200,disagreement,dinov2_vits14,cifar,r32p,1xs,9,4,0,50000,1500,3827,46173,0.9227,0.007,0.9877725154639175,0.6654339010533233,0.576,0.576,0.3896002090410243,0.994,0.9877725154639175,0.6654339010533233,1491,2336,9,46164,0.5597897503285151,0.6068881053997521,0.9729175257731959,0.6644381589097454,0.68,0.6707629512281232,0.68,0.8130967020988464,0.13369739055633545,0.09504690766334534,0.1749396175146103
