experiment,mode,k,assigned_class,n_samples,n_true_poisoned,n_flagged,tp,fp,fn,precision,recall,flag_rate
knn_defense_cifar_1xs_1500_none_k1,none,1,0,5030,43,145,43,102,0,0.296551724137931,1.0,0.02882703777335984
knn_defense_cifar_1xs_1500_none_k1,none,1,1,5001,66,203,66,137,0,0.3251231527093596,1.0,0.04059188162367527
knn_defense_cifar_1xs_1500_none_k1,none,1,2,4998,6,179,6,173,0,0.0335195530726257,1.0,0.03581432573029212
knn_defense_cifar_1xs_1500_none_k1,none,1,3,4992,16,389,16,373,0,0.04113110539845758,1.0,0.07792467948717949
knn_defense_cifar_1xs_1500_none_k1,none,1,4,6209,1209,984,833,151,376,0.8465447154471545,0.6889991728701406,0.15847962634884843
knn_defense_cifar_1xs_1500_none_k1,none,1,5,4978,5,358,5,353,0,0.013966480446927373,1.0,0.07191643230212937
knn_defense_cifar_1xs_1500_none_k1,none,1,6,5020,38,140,37,103,1,0.2642857142857143,0.9736842105263158,0.027888446215139442
knn_defense_cifar_1xs_1500_none_k1,none,1,7,5082,94,149,90,59,4,0.6040268456375839,0.9574468085106383,0.029319165682802045
knn_defense_cifar_1xs_1500_none_k1,none,1,8,4979,15,101,14,87,1,0.13861386138613863,0.9333333333333333,0.020285197830889737
knn_defense_cifar_1xs_1500_none_k1,none,1,9,3711,8,842,8,834,0,0.009501187648456057,1.0,0.22689302074912424
knn_defense_cifar_1xs_1500_remove_k1,remove,1,0,5030,43,145,43,102,0,0.296551724137931,1.0,0.02882703777335984
knn_defense_cifar_1xs_1500_remove_k1,remove,1,1,5001,66,203,66,137,0,0.3251231527093596,1.0,0.04059188162367527
knn_defense_cifar_1xs_1500_remove_k1,remove,1,2,4998,6,179,6,173,0,0.0335195530726257,1.0,0.03581432573029212
knn_defense_cifar_1xs_1500_remove_k1,remove,1,3,4992,16,389,16,373,0,0.04113110539845758,1.0,0.07792467948717949
knn_defense_cifar_1xs_1500_remove_k1,remove,1,4,6209,1209,984,833,151,376,0.8465447154471545,0.6889991728701406,0.15847962634884843
knn_defense_cifar_1xs_1500_remove_k1,remove,1,5,4978,5,358,5,353,0,0.013966480446927373,1.0,0.07191643230212937
knn_defense_cifar_1xs_1500_remove_k1,remove,1,6,5020,38,140,37,103,1,0.2642857142857143,0.9736842105263158,0.027888446215139442
knn_defense_cifar_1xs_1500_remove_k1,remove,1,7,5082,94,149,90,59,4,0.6040268456375839,0.9574468085106383,0.029319165682802045
knn_defense_cifar_1xs_1500_remove_k1,remove,1,8,4979,15,101,14,87,1,0.13861386138613863,0.9333333333333333,0.020285197830889737
knn_defense_cifar_1xs_1500_remove_k1,remove,1,9,3711,8,842,8,834,0,0.009501187648456057,1.0,0.22689302074912424
knn_defense_cifar_1xs_1500_none_k5,none,5,0,5030,43,122,43,79,0,0.3524590163934426,1.0,0.024254473161033796
knn_defense_cifar_1xs_1500_none_k5,none,5,1,5001,66,145,65,80,1,0.4482758620689655,0.9848484848484849,0.028994201159768047
knn_defense_cifar_1xs_1500_none_k5,none,5,2,4998,6,201,6,195,0,0.029850746268656716,1.0,0.040216086434573826
knn_defense_cifar_1xs_1500_none_k5,none,5,3,4992,16,345,16,329,0,0.0463768115942029,1.0,0.06911057692307693
knn_defense_cifar_1xs_1500_none_k5,none,5,4,6209,1209,1117,980,137,229,0.8773500447627574,0.8105872622001654,0.17990014495087775
knn_defense_cifar_1xs_1500_none_k5,none,5,5,4978,5,365,5,360,0,0.0136986301369863,1.0,0.07332261952591403
knn_defense_cifar_1xs_1500_none_k5,none,5,6,5020,38,102,38,64,0,0.37254901960784315,1.0,0.020318725099601594
knn_defense_cifar_1xs_1500_none_k5,none,5,7,5082,94,159,94,65,0,0.5911949685534591,1.0,0.03128689492325856
knn_defense_cifar_1xs_1500_none_k5,none,5,8,4979,15,61,14,47,1,0.22950819672131148,0.9333333333333333,0.01225145611568588
knn_defense_cifar_1xs_1500_none_k5,none,5,9,3711,8,514,8,506,0,0.01556420233463035,1.0,0.13850714093236324
