experiment,mode,k,epoch,cta,clean_loss,pta,poison_loss
knn_defense_cifar_1xs_1500_none_k1,none,1,1,0.4473,0.006855341482162476,0.221,0.006937005162239075
knn_defense_cifar_1xs_1500_none_k1,none,1,2,0.6341,0.004203735584020615,0.651,0.0035819365978240966
knn_defense_cifar_1xs_1500_none_k1,none,1,3,0.6867,0.0035666279077529906,0.27,0.008011871695518494
knn_defense_cifar_1xs_1500_none_k1,none,1,4,0.6883,0.003678152871131897,0.861,0.0022292785942554473
knn_defense_cifar_1xs_1500_none_k1,none,1,5,0.7316,0.003197793334722519,0.527,0.005309039831161499
knn_defense_cifar_1xs_1500_none_k1,none,1,6,0.7162,0.0033050305753946304,0.618,0.004731838822364807
knn_defense_cifar_1xs_1500_none_k1,none,1,7,0.7853,0.0024938000440597533,0.893,0.001688729166984558
knn_defense_cifar_1xs_1500_none_k1,none,1,8,0.8031,0.002284585452079773,0.702,0.003234908878803253
knn_defense_cifar_1xs_1500_none_k1,none,1,9,0.7636,0.0029575481653213503,0.863,0.0015339554250240325
knn_defense_cifar_1xs_1500_none_k1,none,1,10,0.7693,0.0029782873451709747,0.874,0.0016289028823375702
knn_defense_cifar_1xs_1500_none_k1,none,1,11,0.8069,0.0022869205981492996,0.907,0.0014337027072906495
knn_defense_cifar_1xs_1500_none_k1,none,1,12,0.7933,0.002448913124203682,0.749,0.0033623018264770507
knn_defense_cifar_1xs_1500_none_k1,none,1,13,0.8256,0.002072857329249382,0.855,0.002486271798610687
knn_defense_cifar_1xs_1500_none_k1,none,1,14,0.8048,0.0025558995485305785,0.506,0.004524648547172546
knn_defense_cifar_1xs_1500_none_k1,none,1,15,0.825,0.00203951281607151,0.784,0.0026721383333206178
knn_defense_cifar_1xs_1500_none_k1,none,1,16,0.747,0.003437951594591141,0.965,0.0005739869773387909
knn_defense_cifar_1xs_1500_none_k1,none,1,17,0.8378,0.001969327336549759,0.912,0.0015487536191940308
