source_idx,target_idx,source,target,source_class_size,neighbour_frac_target,mean_audit_score,stealthy_pool_tau0.9,stealthy_pool_tau0.7,stealthy_pool_tau0.5
0,1,plane,car,5000,0.001480,0.998520,25,6,2
0,2,plane,bird,5000,0.005370,0.994630,111,17,4
0,3,plane,cat,5000,0.001950,0.998050,43,7,0
0,4,plane,deer,5000,0.002510,0.997490,57,7,0
0,5,plane,dog,5000,0.000290,0.999710,5,0,0
0,6,plane,frog,5000,0.002370,0.997630,38,12,7
0,7,plane,horse,5000,0.000990,0.999010,15,2,0
0,8,plane,ship,5000,0.012180,0.987820,176,61,36
0,9,plane,truck,5000,0.002420,0.997580,42,9,4
1,0,car,plane,5000,0.000940,0.999060,15,2,1
1,2,car,bird,5000,0.000050,0.999950,1,0,0
1,3,car,cat,5000,0.000350,0.999650,7,2,0
1,4,car,deer,5000,0.000220,0.999780,5,0,0
1,5,car,dog,5000,0.000100,0.999900,2,0,0
1,6,car,frog,5000,0.000210,0.999790,2,1,1
1,7,car,horse,5000,0.000190,0.999810,2,1,1
1,8,car,ship,5000,0.001430,0.998570,23,8,3
1,9,car,truck,5000,0.025790,0.974210,402,143,72
2,0,bird,plane,5000,0.011610,0.988390,165,68,43
2,1,bird,car,5000,0.000260,0.999740,5,0,0
2,3,bird,cat,5000,0.009960,0.990040,187,49,13
2,4,bird,deer,5000,0.015960,0.984040,267,88,36
2,5,bird,dog,5000,0.003520,0.996480,64,10,5
2,6,bird,frog,5000,0.013770,0.986230,213,87,39
2,7,bird,horse,5000,0.002410,0.997590,48,6,3
2,8,bird,ship,5000,0.001070,0.998930,17,4,2
2,9,bird,truck,5000,0.000480,0.999520,8,2,1
3,0,cat,plane,5000,0.002960,0.997040,57,14,1
3,1,cat,car,5000,0.000610,0.999390,13,2,1
3,2,cat,bird,5000,0.006120,0.993880,124,14,5
3,4,cat,deer,5000,0.016340,0.983660,303,78,32
3,5,cat,dog,5000,0.060400,0.939600,1223,314,82
3,6,cat,frog,5000,0.018080,0.981920,310,104,39
3,7,cat,horse,5000,0.004960,0.995040,86,22,7
3,8,cat,ship,5000,0.001170,0.998830,21,1,0
3,9,cat,truck,5000,0.000940,0.999060,15,4,1
4,0,deer,plane,5000,0.002120,0.997880,43,11,1
4,1,deer,car,5000,0.000420,0.999580,8,0,0
4,2,deer,bird,5000,0.007480,0.992520,134,32,10
4,3,deer,cat,5000,0.008050,0.991950,161,31,16
4,5,deer,dog,5000,0.003160,0.996840,54,4,2
4,6,deer,frog,5000,0.011470,0.988530,150,79,42
4,7,deer,horse,5000,0.013140,0.986860,216,58,30
4,8,deer,ship,5000,0.000360,0.999640,8,0,0
4,9,deer,truck,5000,0.000310,0.999690,6,0,0
5,0,dog,plane,5000,0.000360,0.999640,5,1,0
5,1,dog,car,5000,0.000150,0.999850,2,0,0
5,2,dog,bird,5000,0.002290,0.997710,36,6,2
5,3,dog,cat,5000,0.078240,0.921760,1164,527,265
5,4,dog,deer,5000,0.012570,0.987430,204,73,30
5,6,dog,frog,5000,0.004210,0.995790,76,17,5
5,7,dog,horse,5000,0.010470,0.989530,156,55,28
5,8,dog,ship,5000,0.000520,0.999480,7,2,1
5,9,dog,truck,5000,0.000540,0.999460,5,2,2
6,0,frog,plane,5000,0.001880,0.998120,30,5,1
6,1,frog,car,5000,0.000090,0.999910,2,0,0
6,2,frog,bird,5000,0.006040,0.993960,109,14,8
6,3,frog,cat,5000,0.010280,0.989720,203,30,11
6,4,frog,deer,5000,0.007100,0.992900,149,17,3
6,5,frog,dog,5000,0.002150,0.997850,43,1,0
6,7,frog,horse,5000,0.000430,0.999570,7,0,0
6,8,frog,ship,5000,0.000810,0.999190,14,1,1
6,9,frog,truck,5000,0.000150,0.999850,2,0,0
7,0,horse,plane,5000,0.001370,0.998630,26,8,2
7,1,horse,car,5000,0.000100,0.999900,2,0,0
7,2,horse,bird,5000,0.001430,0.998570,27,5,2
7,3,horse,cat,5000,0.003120,0.996880,50,16,9
7,4,horse,deer,5000,0.010850,0.989150,174,61,29
7,5,horse,dog,5000,0.001490,0.998510,31,4,0
7,6,horse,frog,5000,0.000650,0.999350,12,3,1
7,8,horse,ship,5000,0.000340,0.999660,8,1,0
7,9,horse,truck,5000,0.000380,0.999620,6,1,1
8,0,ship,plane,5000,0.007670,0.992330,134,37,15
8,1,ship,car,5000,0.002490,0.997510,42,11,6
8,2,ship,bird,5000,0.000350,0.999650,4,1,0
8,3,ship,cat,5000,0.001120,0.998880,21,4,3
8,4,ship,deer,5000,0.000470,0.999530,8,0,0
8,5,ship,dog,5000,0.000200,0.999800,2,0,0
8,6,ship,frog,5000,0.000770,0.999230,12,4,2
8,7,ship,horse,5000,0.000350,0.999650,5,0,0
8,9,ship,truck,5000,0.002570,0.997430,45,13,3
9,0,truck,plane,5000,0.002550,0.997450,50,11,4
9,1,truck,car,5000,0.027330,0.972670,425,164,83
9,2,truck,bird,5000,0.000110,0.999890,2,0,0
9,3,truck,cat,5000,0.000790,0.999210,14,4,1
9,4,truck,deer,5000,0.000320,0.999680,8,0,0
9,5,truck,dog,5000,0.000290,0.999710,2,1,0
9,6,truck,frog,5000,0.000370,0.999630,6,2,2
9,7,truck,horse,5000,0.000320,0.999680,6,1,1
9,8,truck,ship,5000,0.002520,0.997480,38,9,7
